Date,CAD=X
2016-01-01,1.3899699449539185
2016-01-04,1.3864500522613525
2016-01-05,1.3934299945831299
2016-01-06,1.3983999490737915
2016-01-07,1.4067599773406982
2016-01-08,1.4101999998092651
2016-01-11,1.4184000492095947
2016-01-12,1.4221999645233154
2016-01-13,1.4255000352859497
2016-01-14,1.4350999593734741
2016-01-15,1.4344600439071655
2016-01-18,1.457800030708313
2016-01-19,1.454450011253357
2016-01-20,1.45632004737854
2016-01-21,1.4474999904632568
2016-01-22,1.4270800352096558
2016-01-25,1.4140599966049194
2016-01-26,1.4296000003814697
2016-01-27,1.4118000268936157
2016-01-28,1.4094799757003784
2016-01-29,1.4034299850463867
2016-02-01,1.397279977798462
2016-02-02,1.3949999809265137
2016-02-03,1.406000018119812
2016-02-04,1.3794200420379639
2016-02-05,1.3755199909210205
2016-02-08,1.3882999420166016
2016-02-09,1.3925000429153442
2016-02-10,1.388319969177246
2016-02-11,1.392300009727478
2016-02-12,1.3916300535202026
2016-02-15,1.383679986000061
2016-02-16,1.3821899890899658
2016-02-17,1.3865200281143188
2016-02-18,1.3677400350570679
2016-02-19,1.3737900257110596
2016-02-22,1.3789000511169434
2016-02-23,1.370300054550171
2016-02-24,1.379699945449829
2016-02-25,1.370300054550171
2016-02-26,1.3544000387191772
2016-02-29,1.354699969291687
2016-03-01,1.3537399768829346
2016-03-02,1.3427000045776367
2016-03-03,1.342900037765503
2016-03-04,1.3406000137329102
2016-03-07,1.3329999446868896
2016-03-08,1.329300045967102
2016-03-09,1.3416999578475952
2016-03-10,1.3247699737548828
2016-03-11,1.33378005027771
2016-03-14,1.3235700130462646
2016-03-15,1.327280044555664
2016-03-16,1.3353999853134155
2016-03-17,1.3115999698638916
2016-03-18,1.2984000444412231
2016-03-21,1.3046000003814697
2016-03-22,1.3092000484466553
2016-03-23,1.3050099611282349
2016-03-24,1.3209999799728394
2016-03-25,1.3250800371170044
2016-03-28,1.3271000385284424
2016-03-29,1.3174699544906616
2016-03-30,1.3063000440597534
2016-03-31,1.297659993171692
2016-04-01,1.2990599870681763
2016-04-04,1.3035999536514282
2016-04-05,1.307669997215271
2016-04-06,1.3141200542449951
2016-04-07,1.3080799579620361
2016-04-08,1.3140000104904175
2016-04-11,1.2979099750518799
2016-04-12,1.2908799648284912
2016-04-13,1.2766000032424927
2016-04-14,1.281790018081665
2016-04-15,1.2839000225067139
2016-04-18,1.2978999614715576
2016-04-19,1.276919960975647
2016-04-20,1.2696199417114258
2016-04-21,1.264549970626831
2016-04-22,1.2724299430847168
2016-04-25,1.2670199871063232
2016-04-26,1.2675000429153442
2016-04-27,1.2608000040054321
2016-04-28,1.2583800554275513
2016-04-29,1.2553000450134277
2016-05-02,1.2542999982833862
2016-05-03,1.2529000043869019
2016-05-04,1.270009994506836
2016-05-05,1.2862000465393066
2016-05-06,1.2851999998092651
2016-05-09,1.2928099632263184
2016-05-10,1.295680046081543
2016-05-11,1.2916300296783447
2016-05-12,1.2860000133514404
2016-05-13,1.28410005569458
2016-05-16,1.2954800128936768
2016-05-17,1.2898900508880615
2016-05-18,1.2910399436950684
2016-05-19,1.302299976348877
2016-05-20,1.3085999488830566
2016-05-23,1.312399983406067
2016-05-24,1.3144999742507935
2016-05-25,1.3125
2016-05-26,1.3034000396728516
2016-05-27,1.2975300550460815
2016-05-30,1.3046000003814697
2016-05-31,1.3037999868392944
2016-06-01,1.3076200485229492
2016-06-02,1.3075100183486938
2016-06-03,1.309399962425232
2016-06-06,1.295930027961731
2016-06-07,1.2813700437545776
2016-06-08,1.275670051574707
2016-06-09,1.268399953842163
2016-06-10,1.2729400396347046
2016-06-13,1.2782299518585205
2016-06-14,1.2828199863433838
2016-06-15,1.2860599756240845
2016-06-16,1.2907999753952026
2016-06-17,1.2916899919509888
2016-06-20,1.2847900390625
2016-06-21,1.2798000574111938
2016-06-22,1.2802000045776367
2016-06-23,1.2813999652862549
2016-06-24,1.2832000255584717
2016-06-27,1.3020999431610107
2016-06-28,1.306570053100586
2016-06-29,1.301900029182434
2016-06-30,1.293429970741272
2016-07-01,1.295799970626831
2016-07-04,1.291100025177002
2016-07-05,1.2867300510406494
2016-07-06,1.3005599975585938
2016-07-07,1.2960000038146973
2016-07-08,1.2997000217437744
2016-07-11,1.3044999837875366
2016-07-12,1.3122999668121338
2016-07-13,1.3057600259780884
2016-07-14,1.2974300384521484
2016-07-15,1.2908300161361694
2016-07-18,1.2956899404525757
2016-07-19,1.295799970626831
2016-07-20,1.3026599884033203
2016-07-21,1.3067200183868408
2016-07-22,1.3073699474334717
